date,value,up&down,10,20,30,60
2022-04-28,0.7772,2.32,0.7669900000000001,0.75763,0.7587133333333332,0.8021600000000001
2022-04-29,0.7821,0.63,0.76678,0.759645,0.7593599999999999,0.8005233333333334
2022-05-05,0.7839,0.23,0.767,0.76198,0.7593133333333334,0.7991116666666667
2022-05-06,0.7517,-4.11,0.7647700000000001,0.76176,0.7582933333333333,0.7975766666666666
2022-05-09,0.7377,-1.86,0.76041,0.76128,0.7568333333333334,0.7958316666666667
2022-05-10,0.7502,1.69,0.75859,0.761445,0.7561,0.7946233333333333
2022-05-11,0.762,1.57,0.7576400000000001,0.762385,0.7553566666666668,0.7930333333333334
2022-05-12,0.7697,1.01,0.76163,0.765315,0.7555200000000001,0.7916616666666667
2022-05-13,0.7672,-0.32,0.7641300000000001,0.765965,0.7563333333333334,0.7902299999999999
2022-05-16,0.7621,-0.66,0.76438,0.7663800000000001,0.7577400000000001,0.7885000000000001
2022-05-17,0.768,0.77,0.76346,0.7652249999999999,0.7595733333333334,0.7866266666666667
2022-05-18,0.7607,-0.95,0.7613200000000001,0.7640499999999999,0.7602033333333333,0.7845383333333333
2022-05-19,0.753,-1.01,0.75823,0.762615,0.7607300000000001,0.7823966666666667
2022-05-20,0.7843,4.16,0.76149,0.76313,0.7616700000000001,0.7806700000000001
2022-05-23,0.7736,-1.36,0.76508,0.762745,0.7625466666666667,0.77879
2022-05-24,0.757,-2.15,0.76576,0.7621749999999999,0.7628833333333332,0.7769416666666668
2022-05-25,0.755,-0.26,0.76506,0.76135,0.7632766666666666,0.7749366666666667
2022-05-26,0.7575,0.33,0.7638400000000001,0.7627349999999999,0.7648233333333333,0.773495
2022-05-27,0.7596,0.28,0.76308,0.763605,0.7650033333333334,0.7719466666666667
2022-05-30,0.7876,3.69,0.76563,0.765005,0.76613,0.7708233333333333
2022-05-31,0.8129,3.21,0.7701199999999999,0.76679,0.7668566666666667,0.7697283333333333
2022-06-01,0.8086,-0.53,0.77491,0.768115,0.7676700000000001,0.76873
2022-06-02,0.8021,-0.8,0.7798200000000001,0.769025,0.76835,0.76807
2022-06-06,0.8134,1.41,0.7827299999999999,0.7721100000000001,0.7696633333333334,0.7677733333333332
2022-06-07,0.8268,1.65,0.78805,0.776565,0.77118,0.7683250000000001
2022-06-08,0.8412,1.74,0.79647,0.781115,0.7736066666666667,0.7691283333333333
2022-06-09,0.8264,-1.76,0.8036099999999999,0.784335,0.7754366666666667,0.7696916666666667
2022-06-10,0.8374,1.33,0.8116,0.78772,0.7790233333333333,0.7698999999999999
2022-06-13,0.8206,-2.01,0.8177,0.79039,0.7816366666666668,0.7698833333333333
2022-06-14,0.8298,1.12,0.8219200000000001,0.7937749999999999,0.7839766666666667,0.7707333333333334
2022-06-15,0.8406,1.3,0.82469,0.797405,0.7860900000000001,0.7724016666666667
2022-06-16,0.8378,-0.33,0.82761,0.8012600000000001,0.7879466666666667,0.7736533333333333
2022-06-17,0.8579,2.4,0.8331899999999999,0.8065049999999999,0.7904133333333333,0.7748633333333333
2022-06-20,0.8746,1.95,0.83931,0.8110200000000001,0.79451,0.7764016666666667
2022-06-21,0.8708,-0.43,0.84371,0.8158799999999999,0.7989466666666666,0.7778899999999999
2022-06-22,0.8587,-1.39,0.8454599999999999,0.820965,0.8025633333333333,0.7793316666666666
2022-06-23,0.8662,0.87,0.8494400000000001,0.826525,0.8060366666666666,0.7806966666666667
2022-06-24,0.8805,1.65,0.85375,0.832675,0.80973,0.782625
2022-06-27,0.9016,2.4,0.8618500000000001,0.839775,0.8142099999999999,0.7852716666666667
2022-06-28,0.9066,0.55,0.8695299999999999,0.8457250000000001,0.8190266666666666,0.7883833333333333
2022-06-29,0.8976,-0.99,0.87523,0.84996,0.8233466666666666,0.79146
